staid,station_name,latitude,longitude,elevation,source_file
2565,NETHERLANDS HOOGEVEEN,52.74888888888889,6.573055555555555,16,indexCDD_002565.txt
2566,NETHERLANDS EINDHOVEN,51.44944444444444,5.376666666666666,23,indexCDD_002566.txt
2567,NETHERLANDS EINDHOVEN-1,51.416666666666664,5.483055555555556,18,indexCDD_002567.txt
2568,NETHERLANDS MAASTRICHT-2,50.85,5.683055555555556,126,indexCDD_002568.txt
2569,NETHERLANDS TWENTHE,52.27305555555555,6.890555555555555,33,indexCDD_002569.txt
2570,NETHERLANDS VALKENBURG,52.17027777777778,4.429166666666667,0,indexCDD_002570.txt
2571,NETHERLANDS WESTDORPE,51.224444444444444,3.8608333333333333,2,indexCDD_002571.txt
2572,NETHERLANDS WILHELMINADORP-1,51.533055555555556,3.9,2,indexCDD_002572.txt
2573,NETHERLANDS VLISSINGEN-1,51.45,3.6,8,indexCDD_002573.txt
3179,NETHERLANDS K13,53.217777777777776,3.220277777777778,38,indexCDD_003179.txt
3192,NETHERLANDS ROTTERDAM-GEULHAVEN,51.891666666666666,4.3125,4,indexCDD_003192.txt
8555,NETHERLANDS WAGENINGEN - VEENKAMPEN,51.981388888888894,5.621666666666667,5,indexCDD_008555.txt
10961,NETHERLANDS VOORSCHOTEN,52.13944444444444,4.436388888888889,-1,indexCDD_010961.txt
10964,NETHERLANDS VLIELAND_1,53.25666666666667,4.973055555555556,1,indexCDD_010964.txt
10965,NETHERLANDS STAVOREN_1,52.885555555555555,5.358055555555556,1,indexCDD_010965.txt
10966,NETHERLANDS LEEUWARDEN_1,53.220555555555556,5.754166666666666,2,indexCDD_010966.txt
10967,NETHERLANDS WIJK_AAN_ZEE_1,52.49305555555556,4.614166666666667,6,indexCDD_010967.txt
10968,NETHERLANDS MARKNESSE_1,52.70416666666667,5.89,-3,indexCDD_010968.txt
10969,NETHERLANDS HEINO_1,52.43666666666666,6.263055555555556,5,indexCDD_010969.txt
10970,NETHERLANDS LELYSTAD_(EENDENWEG),52.45305555555556,5.5280555555555555,-4,indexCDD_010970.txt
